Tuple,count
"('rosy', ('India', u'Maharashtra'), '2013-04-15')",1
"('dekh', ('India', u'Punjab'), '2013-01-21')",1
"('whereas', ('India', u'Rajasthan'), '2013-04-22')",1
"('object', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('medical', ('India', u'Maharashtra'), '2013-06-10')",1
"('close', ('India', 'Kerala'), '2013-05-13')",1
"('kapoor', ('India', u'Maharashtra'), '2013-04-15')",1
"('nobody', ('India', u'Karnataka'), '2013-05-20')",1
"('occasion', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('get', ('India', u'Karnataka'), '2013-05-20')",2
"('network', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('tell', ('India', u'Karnataka'), '2013-04-22')",1
"('panchayat', ('India', u'Kerala'), '2013-05-06')",1
"('obscene', ('India', u'Gujarat'), '2013-06-10')",1
"('around', ('India', u'West Bengal'), '2013-05-06')",1
"('ios', ('India', u'Goa'), '2013-05-27')",1
"('quits', ('India', u'Karnataka'), '2013-06-10')",1
"('indian', ('India', u'Kerala'), '2013-05-27')",2
"('special', ('India', u'West Bengal'), '2013-01-21')",1
"('window', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('government', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('execution', ('India', u'Maharashtra'), '2013-02-11')",1
"('coast', ('India', u'Kerala'), '2013-05-27')",1
"('psychological', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('remorseful', ('India', u'Karnataka'), '2013-06-10')",1
"('cause', ('India', u'Goa'), '2013-04-01')",1
"('civil', ('India', u'Punjab'), '2013-01-21')",1
"('chennai', ('India', u'Karnataka'), '2013-06-10')",1
"('free', ('India', u'Kerala'), '2013-05-13')",1
"('trial', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('pune', ('India', u'Maharashtra'), '2013-01-21')",1
"('information', ('India', u'Goa'), '2013-04-01')",1
"('life', ('India', u'Kerala'), '2013-05-06')",1
"('united', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('fumigation', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('soon', ('India', u'Delhi'), '2013-05-20')",1
"('ringtones', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('month', ('India', u'Karnataka'), '2013-06-10')",1
"('rescue', ('India', u'Karnataka'), '2013-06-10')",1
"('jaipur', ('India', u'Rajasthan'), '2013-04-22')",1
"('population', ('India', u'Goa'), '2013-04-01')",1
"('create', ('India', u'Maharashtra'), '2013-02-11')",1
"('wife', ('India', u'Kerala'), '2013-05-06')",1
"('top', ('India', u'Kerala'), '2013-06-10')",1
"('corporation', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('week', ('India', u'Maharashtra'), '2013-02-11')",1
"('learn', ('India', u'Maharashtra'), '2013-02-11')",1
"('threaten', ('India', u'Karnataka'), '2013-06-10')",1
"('due', ('India', u'Punjab'), '2013-04-08')",1
"('journal', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('yesterday', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('oppn', ('India', u'Haryana'), '2013-05-06')",1
"('find', ('India', u'Karnataka'), '2013-06-03')",2
"('confirm', ('India', u'Maharashtra'), '2013-01-21')",1
"('october', ('India', u'Madhya Pradesh'), '2013-03-04')",1
